,x_avg_pixel,amostras,proporção,higher_than_threshold
377,0.18859911,ddgan,0.3,0.0
378,0.8476601,ddgan,0.3,1.0
379,0.8821577,ddgan,0.3,1.0
380,0.16772747,ddgan,0.3,0.0
381,0.2191368,ddgan,0.3,0.0
382,0.8238358,ddgan,0.3,1.0
383,0.19168198,ddgan,0.3,0.0
384,0.08836551,ddgan,0.3,0.0
385,0.15044041,ddgan,0.3,0.0
386,0.9239967,ddgan,0.3,1.0
387,0.050608914,ddgan,0.3,0.0
388,0.15010723,ddgan,0.3,0.0
389,0.23168275,ddgan,0.3,0.0
390,0.18648131,ddgan,0.3,0.0
391,0.8015549,ddgan,0.3,1.0
392,0.12212393,ddgan,0.3,0.0
393,0.89637333,ddgan,0.3,1.0
394,0.79626226,ddgan,0.3,1.0
395,0.09109988,ddgan,0.3,0.0
396,0.9311274,ddgan,0.3,1.0
397,0.11683135,ddgan,0.3,0.0
398,0.14343214,ddgan,0.3,0.0
399,0.8653454,ddgan,0.3,1.0
400,0.9166016,ddgan,0.3,1.0
401,0.16348806,ddgan,0.3,0.0
402,0.7596507,ddgan,0.3,1.0
403,0.84703207,ddgan,0.3,1.0
404,0.8249503,ddgan,0.3,1.0
405,0.14192326,ddgan,0.3,0.0
406,0.8662033,ddgan,0.3,1.0
407,0.15582873,ddgan,0.3,0.0
408,0.14634268,ddgan,0.3,0.0
409,0.14366959,ddgan,0.3,0.0
410,0.16475184,ddgan,0.3,0.0
411,0.13599113,ddgan,0.3,0.0
412,0.90574837,ddgan,0.3,1.0
413,0.17042355,ddgan,0.3,0.0
414,0.13749617,ddgan,0.3,0.0
415,0.18217295,ddgan,0.3,0.0
416,0.08403417,ddgan,0.3,0.0
417,0.79764473,ddgan,0.3,1.0
418,0.110516235,ddgan,0.3,0.0
419,0.8258693,ddgan,0.3,1.0
420,0.15476026,ddgan,0.3,0.0
421,0.81077665,ddgan,0.3,1.0
422,0.1760455,ddgan,0.3,0.0
423,0.063725494,ddgan,0.3,0.0
424,0.115625,ddgan,0.3,0.0
425,0.16768153,ddgan,0.3,0.0
426,0.093880214,ddgan,0.3,0.0
427,0.09968214,ddgan,0.3,0.0
428,0.14798944,ddgan,0.3,0.0
429,0.048280485,ddgan,0.3,0.0
430,0.15285693,ddgan,0.3,0.0
431,0.1713848,ddgan,0.3,0.0
432,0.085148595,ddgan,0.3,0.0
433,0.90415525,ddgan,0.3,1.0
434,0.14157858,ddgan,0.3,0.0
435,0.1729856,ddgan,0.3,0.0
436,0.1350069,ddgan,0.3,0.0
437,0.11176472,ddgan,0.3,0.0
438,0.107778035,ddgan,0.3,0.0
439,0.90552235,ddgan,0.3,1.0
440,0.74659926,ddgan,0.3,1.0
441,0.14699373,ddgan,0.3,0.0
442,0.12007123,ddgan,0.3,0.0
443,0.1834329,ddgan,0.3,0.0
444,0.1610792,ddgan,0.3,0.0
445,0.1872549,ddgan,0.3,0.0
446,0.19433977,ddgan,0.3,0.0
447,0.15826057,ddgan,0.3,0.0
448,0.09849495,ddgan,0.3,0.0
449,0.8369524,ddgan,0.3,1.0
450,0.11865426,ddgan,0.3,0.0
451,0.1952321,ddgan,0.3,0.0
452,0.85346586,ddgan,0.3,1.0
453,0.07932368,ddgan,0.3,0.0
454,0.14410232,ddgan,0.3,0.0
455,0.18222655,ddgan,0.3,0.0
456,0.18401119,ddgan,0.3,0.0
457,0.9152267,ddgan,0.3,1.0
458,0.06809513,ddgan,0.3,0.0
459,0.15674403,ddgan,0.3,0.0
460,0.8772289,ddgan,0.3,1.0
461,0.8929611,ddgan,0.3,1.0
462,0.08764936,ddgan,0.3,0.0
463,0.09484529,ddgan,0.3,0.0
464,0.19022672,ddgan,0.3,0.0
465,0.8042356,ddgan,0.3,1.0
466,0.122794114,ddgan,0.3,0.0
467,0.8060394,ddgan,0.3,1.0
468,0.9384,ddgan,0.3,1.0
469,0.20558363,ddgan,0.3,0.0
470,0.14148667,ddgan,0.3,0.0
471,0.8550552,ddgan,0.3,1.0
472,0.14252834,ddgan,0.3,0.0
473,0.17695314,ddgan,0.3,0.0
474,0.82136565,ddgan,0.3,1.0
475,0.15214078,ddgan,0.3,0.0
476,0.062913604,ddgan,0.3,0.0
477,0.8740886,ddgan,0.3,1.0
478,0.06977252,ddgan,0.3,0.0
479,0.8334865,ddgan,0.3,1.0
480,0.12879902,ddgan,0.3,0.0
481,0.09918045,ddgan,0.3,0.0
482,0.049659163,ddgan,0.3,0.0
483,0.22218521,ddgan,0.3,0.0
484,0.91218984,ddgan,0.3,1.0
485,0.7758119,ddgan,0.3,1.0
486,0.23390777,ddgan,0.3,0.0
487,0.80776274,ddgan,0.3,1.0
488,0.8544425,ddgan,0.3,1.0
489,0.16624159,ddgan,0.3,0.0
490,0.8715496,ddgan,0.3,1.0
491,0.89130676,ddgan,0.3,1.0
492,0.20023361,ddgan,0.3,0.0
493,0.08403799,ddgan,0.3,0.0
494,0.23537073,ddgan,0.3,0.0
495,0.15843673,ddgan,0.3,0.0
496,0.09678309,ddgan,0.3,0.0
497,0.8879174,ddgan,0.3,1.0
498,0.13126148,ddgan,0.3,0.0
499,0.90232074,ddgan,0.3,1.0
500,0.18680301,ddgan,0.3,0.0
501,0.17232691,ddgan,0.3,0.0
502,0.11202513,ddgan,0.3,0.0
503,0.062388945,ddgan,0.3,0.0
504,0.086423874,ddgan,0.3,0.0
